,Unnamed: 0,ac_adapter,audio_ports,backlit_keyboard,battery,bluetooth,brand,card_reader,color,color_gamut,core_name,cpu,cpu_l3_cache,cpu_speed,cpu_type,date_first_available,dimensions_(w_x_d_h),display_type,gpu/vpu,graphic_type,graphics_card,hdd,hdmi,keyboard,lcd_features,memory,memory_slot_(available),memory_slot_(total),memory_spec,model,number_of_cores,operating_system,optical_drive_type,other_features,panel,part_number,price,resolution,screen,screen_size,series,ssd,storage,storage_spec,style,touchscreen,turbo_frequency,type,usage,usb,video_memory,webcam,weight,wide_screen_support,wifi_generation,wlan,audio,battery_life,ethernet,lan,max_memory_supported,memory_speed,speaker,thunderbolt,optical_drive_spec,touchpad,package_content,parts,pointing_stick,communication,labor,package_type,memory_type,refresh_rate,virtual_reality_ready,optical_drive,other_port,smart_cache,docking_connector,video_port,software_included,service,chipset,cpu_support,accidental_damage_warranty,cpu_l2_cache,tech,hdd_interface,hdd_rpm,bezel_design,thunderbolt_3,optical_drive_interface,nfc_supported,laptop_name,graphics_card_score,cpu_score,cpu_type_speed,ram,storage_score,hdd_score,resolution_score,screen_size_score
1711,1711,,1 x Headphone/Microphone Combo Jack,Non-backlit,,Bluetooth 5.0,hp,Yes,Silver,,,,4MB Cache,2.60GHz,AMD Ryzen 3 3000 Series,"November 09, 2021",,,AMD Radeon Graphics,Integrated Card,,,1 x HDMI,None,,16GB,,,,,,Windows 10 Pro,No,,,,142027.2,1366 x 768,,"15.6""",15z 15-ef0021n,256 GB,,256GB SATA SSD,Standard,No,3.5 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,15z 15-ef0021n,2500.0,3975.0,AMD Ryzen 3 3000 Series 2.60GHz,16.0,256.0,,1049088,15.6
1712,1712,,3.5mm combo audio jack,Backlit,"66 WHrs, 4S1P, 4-cell Li-ion",Bluetooth 5.0,asus,,ROG Strix G15 Black,45% NTSC,Comet Lake,Intel Core i7-10750H 2.60 GHz,12 MB,10750 H (2.60GHz),Intel Core i7 10th Gen,"November 08, 2021","14.20"" x 10.80"" x 1.00""",Full HD,NVIDIA GeForce RTX 2060,Dedicated Card,GeForce RTX 2060,,1 x HDMI,ROG AURA RGB - 4 Zone,"144 Hz, IPS, 250 nits, 45% NTSC, Anti-Glare",16GB,0.0,2.0,8 GB x 2,G512LV-ES74,6-core Processor,Windows 10 Home 64-bit,No,,IPS,90NR04D1-M02590,189315.2,1920 x 1080,"15.6"" 144 Hz IPS","15.6""",ROG Strix G15 (2020),512 GB,512 GB PCIe NVMe SSD,512 GB PCIe NVMe SSD,Standard,No,Up to 5.00 GHz,gaming,Consumer,1 x USB 3.2 Gen 2 Type C with DisplayPort3 x USB 3.2 Gen 1 Type A,6GB,,5.30 lbs.,Yes,Wi-Fi 6,Wi-Fi 6 (Gig+) (802.11ax) 2x2,,,,,,DDR4 2933,,,,,,,,,,,,144 Hz,Yes,,,,,,,,Intel HM470,,,,,,,,,,,ROG Strix G15 (2020) G512LV-ES74,11354.0,12451.0,Intel Core i7 10th Gen 10750 H (2.60GHz),16.0,512.0,,2073600,15.6
1713,1713,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 5.0,hp,No,Silver,,,,8MB Cache,1.80GHz,Intel Core i7 10th Gen,"November 08, 2021",,,Intel UHD Graphics,Integrated Card,,,1 x HDMI,Standard,,16GB,,,,,,Windows 11 Pro,No,,,,266019.2,1920 x 1080,,"14.0""",EliteBook 840 G7,512 GB,,512GB PCIe SSD,Standard,No,4.9 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,EliteBook 840 G7,1040.0,7050.0,Intel Core i7 10th Gen 1.80GHz,16.0,512.0,,2073600,14.0
1714,1714,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 5.0,hp,Yes,Silver,,,,12MB Cache,2.80GHz,Intel Core i7 11th Gen,"November 08, 2021",,,Intel Iris Xe Graphics,Integrated Card,,,1 x HDMI,Full Size (10 Key),,16GB,,,,,,Windows 11 Home,No,,,,254635.2,3840 x 2160,,"17.3""",Envy 17t-ch000,1 TB,,1TB SATA SSD,Standard,No,4.7 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,Envy 17t-ch000,2831.0,10632.0,Intel Core i7 11th Gen 2.80GHz,16.0,1024.0,,8294400,17.3
1715,1715,,1 x Headphone/Microphone Combo Jack,Backlit,,Yes,dell,Yes,Black,,,,12MB Cache,2.80GHz,Intel Core i7 11th Gen,"November 08, 2021",,,Intel Iris Xe Graphics,Integrated Card,,,1 x HDMI,Full Size (10 Key),,16GB,,,,,,Windows 10 Pro,No,,,,164176.0,1920 x 1080,,"15.6""",Latitude 3520,256 GB,,256GB PCIe SSD,Standard,No,4.7 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,Latitude 3520,2831.0,10632.0,Intel Core i7 11th Gen 2.80GHz,16.0,256.0,,2073600,15.6
1716,1716,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 5.0,hp,No,Silver,,,,8MB Cache,1.80GHz,Intel Core i7 10th Gen,"November 08, 2021",,,Intel UHD Graphics,Integrated Card,,,1 x HDMI,Standard,,16GB,,,,,,Windows 11 Pro,No,,,,301040.0,1920 x 1080,,"14.0""",EliteBook 840 G7,512 GB,,512GB SATA SSD,Standard,No,4.9 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,EliteBook 840 G7,1040.0,7050.0,Intel Core i7 10th Gen 1.80GHz,16.0,512.0,,2073600,14.0
1717,1717,,1 x Headphone/Microphone Combo Jack,Non-backlit,,Bluetooth 4.2,hp,Yes,Silver,,,,8MB Cache,2.40GHz,Intel Core i5 11th Gen,"November 08, 2021",,,Intel Iris Xe Graphics,Integrated Card,,,1 x HDMI,Full Size (10 Key),,8GB,,,,,,Windows 11 Home,No,,,,103660.8,1920 x 1080,,"15.6""",15t,256 GB,,256GB PCIe SSD,Standard,No,4.2 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,15t,2831.0,10175.0,Intel Core i5 11th Gen 2.40GHz,8.0,256.0,,2073600,15.6
1718,1718,,1 x Headphone/Microphone Combo Jack,Non-backlit,,Bluetooth 4.2,hp,SDXC,Silver,,,,12MB Cache,2.80GHz,Intel Core i7 11th Gen,"November 08, 2021",,,Intel Iris Xe Graphics,Integrated Card,,,1 x HDMI,Standard,,16GB,,,,,,Windows 11 Home,No,,,,155352.0,1366 x 768,,"15.6""",15t-dw HD,512 GB,,512GB SATA SSD,Standard,Yes,4.7 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,15t-dw HD,2831.0,10632.0,Intel Core i7 11th Gen 2.80GHz,16.0,512.0,,1049088,15.6
1719,1719,,1 x Headphone/Microphone Combo Jack,Non-backlit,,Bluetooth 4.2,hp,SDXC,Silver,,,,12MB Cache,2.80GHz,Intel Core i7 11th Gen,"November 08, 2021",,,Intel Iris Xe Graphics,Integrated Card,,,1 x HDMI,Standard,,12GB,,,,,,Windows 11 Home,No,,,,105192.0,1366 x 768,,"15.6""",15t-dw HD,512 GB,,512GB PCIe SSD,Standard,Yes,4.7 GHz,work_business,,,,Yes,,,,802.11ac  Wireless LAN,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,15t-dw HD,2831.0,10632.0,Intel Core i7 11th Gen 2.80GHz,12.0,512.0,,1049088,15.6
1720,1720,,1 x Headphone/Microphone Combo Jack,Backlit,,Bluetooth 5.0,hp,Yes,Silver,,,,12MB Cache,2.80GHz,Intel Core i7 11th Gen,"November 08, 2021",,,Intel Iris Xe Graphics,Integrated Card,,,1 x HDMI,Full Size (10 Key),,16GB,,,,,,Windows 11 Pro,No,,,,226793.6,3840 x 2160,,"17.3""",Envy 17t-ch000,512 GB,,512GB PCIe SSD,Standard,No,4.7 GHz,work_business,,,,Yes,,,,Wi-Fi 6 AX201,,,,,,DDR4,,,,,,,No,,,,SO-DIMM,,,,,,,,,,,,,,,,,,,,,Envy 17t-ch000,2831.0,10632.0,Intel Core i7 11th Gen 2.80GHz,16.0,512.0,,8294400,17.3
